전체날짜,종목명,제목,본문
2022.06.02 08:38,카카오,요약,"https://www.thedailystar.net/news/bangladesh/news/rice-pricier-even-peak-boro-season-3036271

쌀값은 쌀 수확기이고 벼가 풍부함에도 불구하고 지난 2주간 kg당 8~10Tk 올랐다.

다른 주방 시장에서 거친 쌀의 가격은 kg당 Tk 52-54로 올랐고 고급 쌀은 어제 Tk 65에서 Tk 80에 판매되었습니다.

모든 최신 뉴스를 보려면 Daily Star의 Google 뉴스 채널을 팔로우하세요.
방글라데시 무역공사(TCB)에 따르면 잡곡과 고운 쌀 가격은 지난 7일 동안 각각 5.38%, 3.17% 올랐다.

상인들은 정미소 소유주가 시장에 충분한 쌀을 공급하지 않고 있으며 공급을 개선하지 않으면 가격이 더 오를 수 있다고 말했습니다.


DAE(Department of Agricultural Extension)의 Benjir Alam 국장은 질문에 대해 농부들이 작년보다 90,000헥타르 더 많은 4963만 헥타르에서 보로를 경작했기 때문에 시장에 쌀이 부족하지 않았다고 말했습니다.

그는 이번 시즌에 약 18,500헥타르의 논에서만 홍수로 피해를 입었다고 말했습니다. ""게다가 연출도 좋았다.""

DG는 이번 Boro 시즌에 211만 톤의 논을 수확할 것으로 예상했으며 목표의 거의 94%가 이미 달성되었다고 덧붙였습니다.


게다가 이달 말까지 전국 각지에서 농부들이 계속해서 논에서 벼를 가져옵니다.

그는 시장에서 인위적인 부족을 초래한 상인과 제분업자를 비난했습니다.

그러나 다른 지역의 여러 정미소 주인들은 농민들에게서 구입한 벼가 제대로 익지 않았고 즉시 쌀을 생산할 만큼 충분히 건조되지 않았다고 말했습니다.

한편 정부가 물가를 통제하기 위해 전국을 습격했지만 첫날부터 큰 효과를 거두지 못했다.

어제 오후 관리들이 올드다카 바부바자르의 쌀 도매시장에서 드라이브를 했지만 대부분의 상점이 문을 닫은 것으로 나타났습니다.

식약처와 식약처 관계자 8팀이 오늘 수도에서 드라이브를 할 예정입니다.

이 운동은 내각이 관리들에게 승인되지 않은 쌀 사업과 비축에 연루된 회사에 대한 조치를 취하도록 지시한 지 하루 만에 시작되었습니다.

칸드커 안와룰 이슬람(Khandker Anwarul Islam) 내무장관은 일요일 법적 승인 없이 일부 대기업이 쌀을 사재기하고 있다고 말했습니다.

어제 수도 나할파라 주민인 Siddikur Rahman은 수도의 한 주방장에서 “미니켓 쌀을 kg당 62Tk에 샀다. 다른 생필품 가격이 오르자 BIRI-29로 바꿨다. Tk 52였습니다. 이제 BIRI-29는 kg당 Tk 57입니다.

그는 “지출을 줄이기 위해 정말 열심히 노력하고 있지만 실패하고 있다”고 말했다.

비난하기
국내 최대 규모의 쌀 시장 중 하나인 Dinajpur의 NA 시장에서 우리 특파원은 어제 Miniket 쌀 50kg 자루당 3,200-3,300 Tk, BRRI-28 2,750-2,800 Tk, Paizam 2,600 Tk, Swarna에 판매되었음을 발견했습니다. 2,300 Tk, Basmati 3,800 Tk.

상인들은 50kg 자루의 가격이 2주 동안 Tk 400-500 인상되었다고 말했습니다.

시장의 가게 주인 골람 라바니는 ""가격이 거의 매일 바뀌고 있다""고 말했다. 그는 이에 대해 정미소 주인을 비난했습니다.

반면에 Dinajpur Mill Operators' Association의 공동 비서인 Azizul Iqbal Chowdhury는 방앗간 소유주가 벼를 더 높은 가격에 구매하고 있다고 주장했습니다.

Kushtia의 쌀 가격은 토요일에 kg당 4Tk 인상되었습니다.

Fresh Agro Mill의 전무이사인 Umar Faruk은 Azizul을 따라 벼 가격을 비난했습니다.

그러나 농부들은 동의하지 않습니다.

Kushtia의 Khajanagar의 논 재배자인 Jakaria Hossain은 논 가격이 오르지 않았다고 말했습니다.

Rajshahi에서 쌀 상인들은 공급 부족을 비난했습니다. 비, 우박폭풍, 해충의 공격은 벼 수확량을 크게 감소시켰다고 그들은 말했다.

Naogaon의 벼 및 쌀 재고 및 도매업자 협회 회장인 Nirod Baran Saha는 Rajshahi 지역의 쌀 생산량이 헥타르당 예상보다 1.12톤 적었다고 말했습니다.

그는 “제분업자들이 쌀을 생산하고 공급할 수 있기 때문에 이번 주에 쌀 가격이 하락할 것으로 기대한다”고 말했다.

Rajshahi, Dinajpur 및 Kushtia의 기자들이 이 보고서에 기여했습니다.




https://www.businessworld.in/article/India-s-Unusual-Wheat-Diplomacy/01-06-2022-430924/

요약 인도 식량 자원 무기화

관련주 신송홀딩스"
2022.06.02 08:52,카카오,호재공시 매수세력 유입중~,http://daily.hankooki.com/news/articleView.html?idxno=831230
2022.06.02 09:03,카카오,1100원올려놓고,오늘도허벌라게빼것네ㅋㅋㅋ
2022.06.02 09:06,카카오,제 입성했습니다,카카오 화이팅.....
2022.06.02 09:08,카카오,탈출들햐,ㅇㅇ
2022.06.02 09:08,카카오,은근히 8만원 잘 버티네요.,25000원 짜리 주제에..
2022.06.02 09:12,카카오,유앵두 6월부터오른다햇지만 안오르쥬?ㅋㅋ,또낙엿쥬?
2022.06.02 09:15,카카오,기술주 폭락이 와도 걱정할 것 없는 카카오,"기술은 무슨 기술

동네 상권 뺏어오는 기술?

대리기사, 택시 시장 숟가락얹기도 모자라서

탁송대리 시장도 한발짝 걸치려는 기술?

이게 무슨 기술주임. ㅋㅋ

주주님들,,

우리는 기술주폭락에 걱정 안하셔도 됩니다.

편안하소서~~"
2022.06.02 09:19,카카오,ㅇㅇㅊ기업,의 교본이네~~~상도가 없는놈들 기술은 아무거도없고 ㅉㅉ
2022.06.02 09:19,카카오,지금이니?,ㅇㅇ
