전체날짜,종목명,제목,본문
2022.06.13 06:01,카카오,카카오톡 삭제,"카카오톡이 필요없어져서
다 지우고 하는데

대책은 없는거니?"
2022.06.13 06:47,카카오,많이 오른 죄,뚝 뚝 떨어져 고향 가는 길
2022.06.13 07:35,카카오,문재인때 얼마나 오른거냐 대단하네,윤석열때 얼마나 떨어질까 대단하네
2022.06.13 07:46,카카오,[삭제된 게시물의 답글]엥두 ~~,"앵두아찌 오늘도 단타친다고
100주씩 걸겠다 개라이 히어 ㅋㅋ"
2022.06.13 07:51,카카오,결국,내가 팔아야 오르는 건가….;;
2022.06.13 07:54,카카오,안티건 찬티건 주가 몇마넌 간다는넘들은,걸러라
2022.06.13 07:59,카카오,현재까지50만원대,액면가
2022.06.13 08:00,카카오,앵두왈 7자다 튀어,"아직도 15부터 분할매수중인가?
ㅋㅋ 주린이들불쌍
이런애들은 5%단타다 알긋냐?
정신차리거라 6자온다
1년을 분할매수하냐 ㅋㅋ ㅁㅊ"
2022.06.13 08:07,카카오,1년내내 개미만 매수 ㅋㅋ,"그러니 가것냐?
오늘도 100만주 매수예정일듯 ㅋㅋ
맨날 개미. 개미 .개미"
2022.06.13 08:10,카카오,[삭제된 게시물의 답글]쯧쯧. 카카오가 망했냐?,"아그야 삼전은. 배당 이라도준단다
그리고 거품이 없어짐 ㅋㅋ 공부하고
애는 60원 ㅋㅋ 올해는 30원
조심해라 또 신규상장한다
그럼 이제 5자밑에서 논다"
2022.06.13 08:12,카카오,대폭락!!!,"빨리들 튀어라!!
끝났다!!!"
2022.06.13 08:16,카카오,8만4천~,본전 84800 밑까고 팔았는데 ㅜ 신의한수였네 ㅋ
2022.06.13 08:24,카카오,종가,77200
2022.06.13 08:26,카카오,지금 단타치는 사람 있을까.??,증시가 대세하락인데 단타치는 흑우형 없지.?
2022.06.13 08:26,카카오,전라도,전라도
2022.06.13 08:31,카카오,나도 카카오 주주였지만,"일전에 8만 중후반에
입성해서 10만 넘기는거 보며 환호하다가..계속떨어져서 8만 중후반대에서 손절
근데 이게 오늘 7만대로 입성해서
어디까지 떨어질지를 모르니
근데 대세하락은 맞는거같다
다들 내자산 잘 지키시길..."
2022.06.13 08:36,카카오,이런얘기가있더라,"정치는민심을이길수가수가없고
경제는시장을이길수없다
다들새겨들어라
내부적으로경영인들,외부적악재속에서,이종목은7만초반까지내려온다"
2022.06.13 08:41,카카오,시가가 고가,대피하라
2022.06.13 08:41,카카오,앵두?다가 가랑이 찢어지겠네….,"껄껄껄껄….

앵두도 실패하지.. 사람인데…."
2022.06.13 08:43,카카오,그냥 주식 1도 몰라도,"이건 명심해라 전 저점 이탈은 손절
이탈된 저점은 저점이 아니다"
2022.06.13 08:47,카카오,추천상품 번개탄,잘가라 다음생엔 프랜즈로 태어나공
2022.06.13 08:48,카카오,냉정하게 5만원은 가야 정상,코로나 개거품가격
2022.06.13 08:53,카카오,얘는 거래정지 시키자,쌍용차 처럼 쉬어야 덜빠진다 개잡주 그냥 쉬자 범수야 궁원아
2022.06.13 08:53,카카오,보람상조 추천한다,곧 폭등한다
2022.06.13 08:54,카카오,ㅋㅋ붕괴깨카오. 거래냥터지면 신저가,안타깝다
2022.06.13 08:54,카카오,나락이네,6으로 가즈아
2022.06.13 08:54,카카오,무조건,3%빠진다.매수할사람들판단잘혀ㅋㅋㅋ
2022.06.13 08:55,카카오,아놔~~~스벌 루나냐?,"뭐하자는? ㅡㅡ#
주가 관리 좀 하소 !!!"
2022.06.13 08:56,카카오,아 망했네,너두?
2022.06.13 08:57,카카오,오늘은 칠카오의날...,대충 7.7카오 예상
2022.06.13 08:57,카카오,[삭제된 게시물의 답글]호재,3주?
2022.06.13 08:58,카카오,"무조건,~~무조건이야~~~","장초반3%이상빠진다
78,77,76까지내려오것네"
2022.06.13 08:59,카카오,5 만원 보인다,기다려
2022.06.13 09:00,카카오,호재,"형들이 생각해도 없제?
시장 분위기도 않좋고

당분간 오를 흐름 아니다
오늘은 78까지만이라도 버텨보소"
2022.06.13 09:00,카카오,드디어 칠카오 입성ㅋㅋㅋㅋ,담주는 육카오 가즈아 ㅋㅋㅋㅋㅋㅋ
2022.06.13 09:00,카카오,카카오는2만원이 적정가지,그래 안그래?
2022.06.13 09:01,카카오,대탈출,오예 내돈
2022.06.13 09:01,카카오,풍악을 올려라 ㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋ
2022.06.13 09:02,카카오,내가 주식을 하는건지 코인을 하는건지,뭐가 뭔지 모르겠네
2022.06.13 09:02,카카오,앞에 1자리 어디갔어요?,???
2022.06.13 09:02,카카오,솔직히 니들도 알잖아,카카오는 2만따리 라는?ㅋㅋㅋㅋㅋ
2022.06.13 09:03,카카오,형님들 지구 종말입니까?,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

가지고있는 주식들 죄다 0원 상폐 될것같은데요 ?"
2022.06.13 09:03,카카오,유앵두가뭐?8만은 지들이 손해라안깬다고?,이래도 유일신처럼믿으면서 돈날릴거냐 ㅋㅋㅋ
2022.06.13 09:04,카카오,ㅋㅋㅋ 웃음만나온다ㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋ
2022.06.13 09:04,카카오,시장박살 ㅎ ㄷ ㄷ,공포다
2022.06.13 09:04,카카오,나락이구나,ㅅㅂ
2022.06.13 09:05,카카오,러시아,"핵전쟁 핵터트려서 지구
망해버리면
좋겠다"
2022.06.13 09:08,카카오,유양두 ㅋㅋㅋㅋㅋㅋㅋㅋ,겁나우끼네 ㅋㅋㅋㅋ
2022.06.13 09:08,카카오,절반 떨어징겨.,15층이니끼니 반토막인디. 다행히도 껌값만큼 사 떨어져도 개안타 아이가. 2층가도 디야.
2022.06.13 09:09,카카오,결국 5만까지 가는거 아냐??,돈 삭제 쉽네...
2022.06.13 09:09,카카오,개카오,"끝내주누만 이참에 문 닫어라
개미들 때려잡아 외국애들 배불리는 기업"
2022.06.13 09:09,카카오,밑바닥어디까지갈까,"여튼바닥에서줏으면좋겠지만
무릎선에서줏어도괜찮을듯ㅋㅋㅋ"
2022.06.13 09:10,카카오,카카오 거품 아직 덜빠진거같은디,5만까지 생각해도 될듯
2022.06.13 09:10,카카오,적정가 26000원,"BPS 청산가치 수준임

아직 초고점이다"
2022.06.13 09:12,카카오,공포다 팔아라,"공포가.왔다

못버틴다

사이드카 울린다"
2022.06.13 09:12,카카오,넌 뭐하냐.....,"이건 뭐 끊임없이 쳐 빼기만 하네.....
카카오 미래가 없냐?"
2022.06.13 09:12,카카오,엘리어트파동 유대자본드립,손절 유~영
2022.06.13 09:13,카카오,현재시장상황으로볼때,"상승요인이없다.7만대에서오르락,내리락하다가,미금리빅스텝과유가역시더상승한다면,7만대초반까지고꾸라지것네"
2022.06.13 09:14,카카오,나는 두려워하지 않는다,왜냐하면 주식을 하지 않기 때문이다 ㅋㅋㅋ
2022.06.13 09:14,카카오,좇카오 답다,마카오에서 기념으로 카카오라고 지은거란다
2022.06.13 09:14,카카오,8만원이 깨진건 엘리어트가 깨?다눈말이다,개미들아 ㅋㅋ아직도 유투브믿고 주식사고팔래?
2022.06.13 09:14,카카오,다들 패닉셀중임? 내려가는게 안멈추네,어디가 바닥인가
2022.06.13 09:16,카카오,개미무덤,ㅋㅋㅋㅋ
2022.06.13 09:16,카카오,"53,000원",오면 어느정도 조정마무리 될 것 같습니다. 유유튜버 말듣고 하다가 노숙자 될 수도 있습니다. 오늘 매수는 자중하세요.
2022.06.13 09:16,카카오,캬~~~,아름다운 조정이다
2022.06.13 09:17,카카오,내돈2천만원태?는데..,"-55프로찍네 내돈 포기할게
같이망하자 카카오야"
2022.06.13 09:18,카카오,6만원대 봐야,찐바닥을 논할듯
2022.06.13 09:18,카카오,7층 온다 했거늘,6층 5층 4층도 간다 탑승해라!
2022.06.13 09:18,카카오,Let't go 2만원 아가리 쩍,냉무
2022.06.13 09:19,카카오,게카오 9900원에 아갈통 쎄게 벌리고 있어유 ㅋ,아가리 쪼오옥 ㅎ 아리가또
2022.06.13 09:19,카카오,오늘 앵두의 훈화 말씀이 있을예정이려나??ㅋ,"솔직히 앵두는 너튜브 , 행사, 회원 수입으로 계속 살 돈이나 있지~

근데 힝 개미들은 돈없네? ㅠㅠㅠㅋㅋㅋ"
2022.06.13 09:20,카카오,이 OOO,"금요일 80400 에 3천주 매수 ㅠ
장중 80100 패데기
월가친구가 빨리 매도하라고 전화와서 ㅠㅠㅠ

자"
2022.06.13 09:21,카카오,주식하면 패가망신 한다는 TT~~,니미럴
2022.06.13 09:21,카카오,이번주 7만초반 무너지면~~,"10년봉으로 볼때 단,장기적으로
급격하게 올랐던 4만까지 보임!!"
2022.06.13 09:21,카카오,아직사면안된다.,71500 1차매수
2022.06.13 09:22,카카오,카카오 오른 이유가 사라졌는대 떨어지는건 당연,"1. 언택트관련 수혜주
2. 금리인하,양적완화로 성장주들 수혜
3. 굵직한 ipo 상장전 기대 프리미엄
4. 민주당 180석 (카카오랠리가정확히 2020 4.16선거 이후)

1.2.3.4. 상승했던 이유가 사라졌으니 떨어지는건 당연하지 per 10 수준 까지 빠질듯"
2022.06.13 09:23,카카오,다들 뭔가 잘못알고 있는디 ㅎ,패닉셀 아직인듯 머니버블의 끝은? 닷컴버블엔 실적이라도 핑계대고 떨어진건디 이번엔 돈많이푼거 핑계대고 쭈욱 빠졌다 올릴듯 하면서 우하양인가? 모르것다 ㅎ 무튼 성투합시다 미리대비했던 사람들은 큰 기회고 아닌분들은 멘탈잡으셔요 항상기회는 있으니;;
2022.06.13 09:23,카카오,카카오 좋다고 외치는 개미가 존재하는한,계속하강... 누가 죽어야 끝난다
2022.06.13 09:24,카카오,카카오 per30실화임??네이버 3인데??,"10배거품종목 2~3만원 가야함ㅋㅋㅋㅋ

페이 뱅크 게임즈도 다 거품주

시총 말도안됨ㅋㅋ"
2022.06.13 09:24,카카오,거래량을봐라,"이정도까지 개처밖을 거래량인지 ㅅㅂ
공매 앵간히들처라"
2022.06.13 09:24,카카오,담아라,종가8자다
2022.06.13 09:25,카카오,유영두 방송 하나요,방송 하나요
2022.06.13 09:26,카카오,하락 멈춰!!!!,ㅅㅂ 멈춰 ㅜㅜ
2022.06.13 09:26,카카오,눈물이나네요,눈물이 납니다~~~
2022.06.13 09:26,카카오,잣두야 뒤지것다 ㅋㅋ,ㅋㅋ
2022.06.13 09:27,카카오,코로나 직전 주가 3만원 하던 주식,"앵두 말대로 유대금융인가 뭐시기인가가 존재한다면

45만에 다 팔고 갔다

앵두는 그저 가두리치는"
2022.06.13 09:28,카카오,내가 말했지,"쌍바닥이 아니라고


해외지수 하락세라고


며칠전부터 알려줬는데


에휴


ㅜㅠ"
2022.06.13 09:31,카카오,이미 역대급으로 처먹고 끝난 종목에,왜 이리도 미련이 많나?
2022.06.13 09:31,카카오,"이재명 ""코스피 5000 만들겠습니다.""",공약이행율 90%이상의 이재명이 되었어야...공매일시금지라도 했지...2번 찍은 애들아 행복해?
2022.06.13 09:31,카카오,"성탄절이 토요일, 일요일일 경우 월요일을 대체공휴일로 지정해주세요.","성탄절이 토요일, 일요일일 경우 월요일을 대체공휴일로 지정해주세요."
2022.06.13 09:32,카카오,가즈아!!!!!!,카카오가 대한민국의 미래다 흔들리지 말고 10만원까지 홀딩 가즈아
2022.06.13 09:32,카카오,"[속보] Fed워치, 7월 금리인상 1%~1.25 갱신!","[속보] Fed워치, 7월 금리인상 1%~1.25 갱신!

유튜버: 스펙터 인베스트

https://youtu.be/QqiY-QMCYLg"
2022.06.13 09:35,카카오,카카오 선물하기로 서로에게 번개탄을 선물하세요,1+1 행사 시작함니다~~~
2022.06.13 09:36,카카오,ㅋㅋㅋ 카카오는 성장주라서 무조건 오른다던,"대가리 깨진 새끼들 다 어디감?
아, 뒤져서 이제 없나? ㅋㅋㅋㅋ"
2022.06.13 09:37,카카오,아이놈들,개잡주같은게 진짜ㅋㅋㅋㅋㄱ웃음나온다
2022.06.13 09:37,카카오,유두형 말을왜믿어...,"1년전에 대충 카카오 네이버 sk텔레콤 한국전력 등등 대충뜰만한거 몇개고르다가 카카오하나 오르니깐 카카오만 집중적으로 계속 추천해왔던척 실력있는척하다 떨어지면 잠수타다 반등오면 이럴줄알았다면서 다시 방송올리는 ,,,후 구독한분있다면 취소하시길.. ㅋㅋㅋㅋㅋㅋ"
2022.06.13 09:39,카카오,어이,김범수씨 이게 당신이 말하던 국민주의 참모습ㅋㅋ 하여튼 참 어이없네 소액주주들 완전 돌돌말아서 보내버리네~~~아 기분더럽네!!
2022.06.13 09:39,카카오,카카오 2만원 기다려 봅니다,4년전 2만원 이였음 ㅎ
2022.06.13 09:39,카카오,코로나로 올린주식 끝물이야 언넝나와 ㅜ,이미 다 해먹은걸 ㅉㅉ
2022.06.13 09:40,카카오,다,손절하고 떠나네
2022.06.13 09:40,카카오,술~~꾼과 콜~~걸의 나라,"이런 나라에 뭘 기대하겠나.
개미들만 오갈데 없으니 붙들고 있지.
외인들은 이미 술..꾼과 콜...걸이 얼마나 큰 리스크인지 판단하고
슬슬 간보기 빠져나가기 시작했지.. 어지간하면 다시 들어올텐데
겪어보니 무식해도 너무 무식하고 멍청하고 철학도 지혜도 지식도 없는
세상에서 젤 무능한 자란 걸 알고 이제 한국은 희망이 없음을 알고
뒤도 안보고 잽싸게 토끼거지 머.."
2022.06.13 09:42,카카오,4만원에 애개뤼~~~~쩌억~~~!!!~~~,가주앙~~~
2022.06.13 09:43,카카오,3만언제가낫,3만갈꾸니깐!!
2022.06.13 09:45,카카오,[나는 콩나물국 이렇게끓인다..],"콩나물을 씻는다..콩나물 꼬다리가 몸엔안좋다는말이있으나 그것을 제거하려면 너무 비효울적이어서

그냥 통째로 한 5번 양푼에넣고 물로헤쳐서씻고 채에그걸걸르고 다시 반복 5번까지만한다..



적당한물을 냄비에담고 굵은천연소금한소끔 그리고 한소끔더 냄비에넣고 끓인다..



물이끓기시작하면 맛을 조금보고(물이식은후맛봐야 짠기느낄수있어) 적당히 간이되었으면

콩나물을 넣고 냄비뚜껑을 충분히 익을때까지 닫아놓는다(한 25분)


팔팔끓으면..파를 정돈씻어 두뿌리 그 통째로 집어넣어버린다..

두부도 반모정도 적당히 잘라서 넣는다..



다시 15분가량을 끓인다..



간을보고 다 되었으면..파는 모두 제거해 건져내고..



맛있게 냠냠 아침식사 저녁식사~~~~~~~~~~~~양파등 그외에 잡스런것은 절대 집어넣지않는다.."
2022.06.13 09:47,카카오,보?패밀리 탈퇴하는사람생기기시작,ㅋㅋㅋ8만원에사서 지금가격이와도 개열받을거같은데
2022.06.13 09:49,카카오,주식 38년차다 지금 상황은,".
.
.
.
.
.
.
.
손님 : 에헴 게 아무도 없느냐? 이리오너라

끼이익~~

하인 : 뉘신지요?

손님 : 이집에 액운이 들어서 초상집이나 다르없구나

하인 : 선비님 어찌 아셨사옵니까?

손님 : 네이놈 잔말말고 주인장을 냉큼 데려오거라

주인장 : 뉘신데 이 야밤에 이 누추한 집을 찾아 주셨오이까?

손님 : 이집에 범상치 않은 액운이 도사려서 왔소이다. 혹여 이집에 풍파가 없었소이까?

주인장 : 맞소이다 근래에 풍파가 있었소이다. 귀한분을 만났구려 어여 안으로 들어오시오.

손님은 주인장의 집으로 들어가고 주인장은 손님에게 귀한 쌀밥에 산해진미 음식을 대접했다.

손님 : 이보시오 주인장 장난하시오??

주인장 : 왜그러시오 빈객에게 최선의 예우를 했는데 대관절 왜그러시오?

손님 : 지금 내가 받아야할 밥상은 육개장이오.. 냉큼 육개장을 내오시오. 주인장은 지금 주식투자로 쪽빡을 찬거 다 알고있소 냉큼 육개장을 내오시오.

주인장 : 서생은 선견지명이 있어시구려 육개장 드시고 많은 조언을 부탁 드리오..

손님 : 아무도 들어면 안될 중요한 얘기니 주인장은 이리 가까이 와서 귀를대시오..

주인장이 손님에게 가까이 다가가 귀를 대니 손님이 말했다.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.

아따 호구 왔능가~~~~~~~~~~~~~~~~~~"
2022.06.13 09:49,카카오,야호 --'야호,내소리 들리니?
2022.06.13 09:50,카카오,띠바 됴깐네,욕을해도 안오르고 칭찬을 해도 안오르고.
2022.06.13 09:53,카카오,응 7만 애개뤼이이잉,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2022.06.13 09:53,카카오,스테그 플레이션,"미 경기 둔화, 국내 고유가 에 무역수지 적자 최대 등등

외인 자본 금시장으로 전환

국내증시 체력이 없다. 이미 쓸만큼 다 써버렷다는..동력 상실

결정타는 윤정부 경제 관료 핵심 부재라는 팩트...ㅎ

정책 현안 불확실성이 더 현 증시에 불안 가중 ..저성장으로의 가시화

카오,네버는 당분간 힘쓰일거야....ㅎㅎ 고군분투 하시길"
2022.06.13 09:53,카카오,지금도 시총이~~,"34조~~
내 생각엔 15조 ~20조 적당!!"
2022.06.13 09:54,카카오,포람 패밀리 회원비,"얼마에요??
한달에 한 20만원 하나요?
보람 팍팍 너무 재밌던데."
2022.06.13 09:56,카카오,반토막 난 사람들 있어요?,15만원에 사고 아직 가지고 있는 개미는 없죠?
2022.06.13 09:56,카카오,"PER 13.9 이군., 10 정도 되면 매수 해봐야겠다.","PER 13.9 이군., 10 정도 되면 매수 해봐야겠다."
2022.06.13 09:57,카카오,반토막 난 사람들 있어요?,"삼분의이 토막
반토막 더 났슴"
2022.06.13 09:57,카카오,7월,"5만대 갈거라 본다..

7만3천 무너지면 주르르? ...."
2022.06.13 09:57,카카오,ㅆㄹ기 기업,도덕성 문제 있는 기업의 표본
2022.06.13 09:58,카카오,축제가 끝난거 같다,"비트코인이나 주식이나 이제 축제는 끝난거 같다

폭락에 줍고 반등에 팔고 튀자"
2022.06.13 09:59,카카오,포람 패밀리 회원비,밑으로 팍팍 ㅋㅋ
2022.06.13 10:00,카카오,亡,ㅠ
2022.06.13 10:00,카카오,오늘 종가,74400
2022.06.13 10:00,카카오,줍줍,ㄱㄱㄱㄱㄱㄱㄱㄱㄱㄱㄱㄱㄱㄱ
2022.06.13 10:01,카카오,수백번도 더 얘기했지요 이거 곧 5만원대 본다고,순진호구개미들 패가망신주
2022.06.13 10:02,카카오,카카오 6자 보는 이유,"1. FOMC 부정적 발표 예상
2. 6월 소비자물가지수 최악 예정
3. 원자재 가격 천정부지
4. 환율 최고점 기록 임박
5. 러-우 장기전 예상
6. 예정된 금리인상
7. 투자심리 위축
+
8. 북한 핵실험(언론은 6월말~7월초로 예상)
9. 교체된 정권 안정화와 정책능력 테스트 중(해외자본)

코스피는 전세계 금융시장에 아무 이슈가 없어도 8번 항목 하나만으로도 나홀로 계단식 하락을 하는 녀석이지.
그런데 9번 항목과 맞물려 해외자본들이 핵실험 전까지 일단 차익실현하고 관망하자 + 공매를 치고 있자나.

그런데 지금 세계 시황이 어때?
보수적으로 길게 보는 사람들은 2~3년의 암흑기를 거쳐야 본격적인 반등시기가 온다고 보고 있고,
짧게 보는 사람들조차 내년초를 예상하고 있지.

현 시각 카카오가 77,200원인데...
2022년에 카카오 분할이 2개 예정되어 있지?
그런데 정부에서 쪼개기 분할상장에 제동을 건다는 공약도 했었고, 지금같은 시황에 분할상장을 하더라도 성공적으로 이루어질 수 있을까?
지금보다 상황이 훨씬 좋았던 몇달 전에도 다른 기업은 상장 연기를 했었는데 말이야.
카카오도 상장연기를 한다면 과연 호재일까?
2022년 상장을 목표로 투자받았던 2개 종목 자금을 회수해 간다면?
또 카카오 자체만으로 봐도 당장 가을에 큰 이슈가 있지?
그 평단가까지 못올려놓는다면? (이 이슈도 모르면 주식투자 하지 않는 걸 추천)
그 자금들을 어디서 끌어와서 막을 거라 생각해?
의장과 임원들이 자기들 주머니를 털어서 주주보호를 할 거라 생각하는 건 아니지?
결국 카카오 주식에 손을 대서 해결할 거라고 보는 게 정상이겠지.

자, 그럼 이제 생각을 해보자.
사실상 지지선이라는 것이 무의미하다고 보고 있는 전 세계 시황과
10년간 100배 성장했다고 평가받는 카카오..

주가가 어디까지 떨어져도 이상할 게 없어 보여.
누구는 4까지를 예상한다지만, 그건 아무도 알 수 없는 것이고.
6은 근 시일 안에 보게 될 숫자인 거 같아.
다들 대응 잘하고."
2022.06.13 10:03,카카오,문재인 정권 하에서 끝없이 해처먹었다.,"석열아 카카오 센타 함 까자
줄줄이 나올거 같다"
2022.06.13 10:03,카카오,영두형님 팍팍,영두형님 이제 어떠케 된겁니까 마이너스 작살나는데 아직도 팍팍해야됩니까
2022.06.13 10:04,카카오,7자 언제보나 했더니 오늘이군요.,너무 늦은감이 없지않아 있습니다..
2022.06.13 10:06,카카오,4층까지 기달렸다가,"4층에 만주 3층에 이만주 사야겠다
똥주 이렇게 많이오른것도 신기하다
돈되는 알짜배기 자회사로 상장시켜 껍데기만 남은 회사"
2022.06.13 10:07,카카오,앵두,이제 뭐라고 씨부리나 보자!!!81400원도 깨지고 진짜 제대로 당했네. 회비 토해내라
2022.06.13 10:09,카카오,조만간,"6자본다.서두를것없다
상승요인제로,배당정책제로,주가부양의지제로,또뭐가있나~~?안팎으로호재가없는회사다.조만간6자본다"
2022.06.13 10:10,카카오,안타깝네~,"작년까지만해도 카슬라 카슬라 신나는 노래 ~~~~



하면서 모든 주주들이 발기찬 함성 10회 발사! 하고 했던 기억이 있는데 ~~



이제는 기본 -50% 인 주주들이 대부분이라니.."
2022.06.13 10:11,카카오,내일 8.1만원 살짝 넘기는 반등 예상한다,그것은 빠져 나올 타임으로 보는 게 좋겠다!
2022.06.13 10:12,카카오,탈출포기다,물도 타지말자 잘못하면 ㅈ된다 손실 엄청 켜진다 30년 들고가보자 살아 있다면 그대 팔아서 본전하고 장례식 비용 쓰자
2022.06.13 10:14,카카오,카카오..계열사 거품 제거 작업중~~,"카카오뱅크 카카오페이 카카오 게임즈....


지금주가에 10%이상은 더 빠져야 함..

그래고 고평가 상태임


몇년 잘 해먹었지

카카오 주주들은 힘들겠지만.....

버블이 시작되면 항시 긴장하고

싸다고 생각 하는 순간 크게 물림..

아직 거품 더 걷어 내야 하기에~`

좀더 기다렸다 매수~~~"
2022.06.13 10:15,카카오,문어대가리 는 최저시급 계속 받고있재??,솔까 최저시급도 아깝다
2022.06.13 10:16,카카오,속보...유영두 빵구난 판츄까지 팔아 매집중..,줍줍은 계속 된다.
2022.06.13 10:17,카카오,최저임금,일할 맛 나겠음?
2022.06.13 10:18,카카오,카카오,"제대로 침몰하는구나
역시 뭐든 잘나갈때 겸손해야하는데
겸손하자"
2022.06.13 10:18,카카오,삼성머스트스팩5호,진짜 m&a 가나? 재용이형 한국입국 하시면
2022.06.13 10:20,카카오,앵두 팍 팍!!,"어디까지 떨어지며

언제까지 계속 사야합니까...

자금이 무한입니까??

지옥팍 지옥팍팍!!"
2022.06.13 10:21,카카오,게카오 9900원에 아갈통 쎄게 벌리고 있어유 ㅋ,아가리 쪼오옥 ㅎ 아리가또
2022.06.13 10:22,카카오,코로나때 2만원 하던 주식이고 매출은 하락세,많이 쳐줘야 4만원입니다
2022.06.13 10:22,카카오,투신이 왜 투신이겠어,"패대기 투신
투신자살 투신 ^^"
2022.06.13 10:22,카카오,8천 매수,반등 옵니다 ^^
2022.06.13 10:22,카카오,앵두,개미들 지옥으로 인도하는군
2022.06.13 10:23,카카오,70600원 대기(77000),대기
2022.06.13 10:23,카카오,다들 몇층에 계신가요?,개패고싶네요 카카오
2022.06.13 10:24,카카오,토요일에 잠들 잘 잤다며?,그럼 이제 정신이 번쩍 드냐?
2022.06.13 10:24,카카오,긴급 속보 카카오 회장님 구속,주식창 쳐다보다 하도 열받아서 재떨이 내던졌는데 구속100마일정도 찍혔다고 함
2022.06.13 10:25,카카오,어차피 2023년 카카오는,3만 8천원 저점온다.....ㅋㅋㅋ
2022.06.13 10:25,카카오,아직 액분전 38만????,멀었네 바닥
2022.06.13 10:25,카카오,코로나 이전에,"3-4만원 하던 종목인데
뭔 회사가 망했느니 헛소리 나오냐..?
그냥 제자리 찾아가는 거"
2022.06.13 10:25,카카오,미쳤냐?,진짜!
2022.06.13 10:27,카카오,수업료 내라,"많이 배울거다
바닥은 아직 멀었다"
2022.06.13 10:28,카카오,오늘.다.떨어지면 다시 잡습니다.,"아침에 손절하고


대기중 입니다

카카오로 총 손해 100만 단위 돌파."
2022.06.13 10:28,카카오,에라이,OOO
2022.06.13 10:29,카카오,-2% 일때 팔껄 하,"개같..
-30%
ㅋㅋㅋ
ㅋㅋㅋㅋ
웃음밖에 안나오네

형들 평단 몇..?"
2022.06.13 10:29,카카오,정말 진지하게,6만원 초반오면 매수 고려해봅니다.
2022.06.13 10:29,카카오,그넘의 적정주가 OOO,저평가된 주식들 안오르는건 설명도 못하면서 ㅋ 코스피 24층 진입전인데 카카오만 떨어졌냐 테마주 빼고 다 내렸구만
2022.06.13 10:30,카카오,2만원오면 삼,ㅇㅇ
2022.06.13 10:30,카카오,공매도 ?끼,살판 났네
2022.06.13 10:30,카카오,공매도는 돈 탈취하는 자인가,"주가 하락 과대 상승 조종 한다든 공매가
이렇케 행동 하면 안되지 기관도 마찬가지야 앵카도 사기꾼 각 기관도 사기꾼
방송 앵크부터 거래 조사 유료 알바 사무실 모두 압수수색 해야한다
앵크 가 아가리 벌린 것만 잠깐 오른다"
2022.06.13 10:32,카카오,코인마냥 개그치 빠지네,개같은
2022.06.13 10:34,카카오,주식이 떨어지더라도 과대낙폭이후에는,항상 10프로이상 반등하면서 떨어짐 물타서 -10프로 이하로 만들어라 그런거 아니면 어플지우고 코스피 3000됐다는 뉴스때 다시 깔아
2022.06.13 10:34,카카오,6만전자랑 만날 예정,..ㅡ
2022.06.13 10:34,카카오,세븐,"뜨거운 가슴에 너를 안을래~
내가 죽는 날까지 푸울 매수 할래"
2022.06.13 10:34,카카오,촉수엄금!,"카카오 위기도래~
6만대까지 빠질듯~
3억불 전환사채 현금화 요청 현실화+공매질"
2022.06.13 10:36,카카오,개웃김...떨어지거나 폭락하면,떨어지거나 폭락하면 문통령 욕으로 가득하더만 이젠 떨어지면 윤짜장 욕은 없네.. 쫄았나??? 검사가 무섭기는 무서운가보네...
2022.06.13 10:37,카카오,꺼억,끄어어억
